Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s,HS_numeric,AVG_numeric,Run_Category,Inn_Group
Venkatesh Iyer,KKR,142,11,7,0,60,20.29,102,139.21,0,1,15,4,60,20.29,101-200,7-9
Washington Sundar,GT,133,6,5,0,49,26.60,80,166.25,0,0,10,7,49,26.6,101-200,4-6
Ruturaj Gaikwad,CSK,122,5,5,0,63,24.40,81,150.61,0,2,14,4,63,24.4,101-200,4-6
Sameer Rizvi,DC,121,5,4,1,58*,40.33,79,153.16,0,1,11,7,58,40.33,101-200,4-6
Vijay Shankar,CSK,118,6,5,2,69*,39.33,91,129.67,0,1,8,3,69,39.33,101-200,4-6
Sam Curran,CSK,114,5,5,0,88,22.80,84,135.71,0,1,11,4,88,22.8,101-200,4-6
Liam Livingstone,RCB,112,10,8,1,54,16.00,84,133.33,0,1,4,9,54,16.0,101-200,7-9
Krunal Pandya,RCB,109,15,7,1,73*,18.17,86,126.74,0,1,9,4,73,18.17,101-200,7-9
Shubham Dubey,RR,106,9,8,4,34*,26.50,66,160.6,0,0,6,8,34,26.5,101-200,7-9
Rahul Tewatia,GT,99,15,12,4,24*,12.38,59,167.79,0,0,6,7,24,12.38,51-100,10-12
Pat Cummins,SRH,97,14,9,5,22*,24.25,58,167.24,0,0,6,7,22,24.25,51-100,7-9
Mayank Agarwal,RCB,95,4,4,1,41*,31.67,64,148.43,0,0,10,2,41,31.67,51-100,4-6
Manish Pandey,KKR,92,3,3,1,37,46.00,65,141.53,0,0,5,5,37,46.0,51-100,1-3
Kamindu Mendis,SRH,92,5,5,2,32*,30.67,69,133.33,0,0,7,2,32,30.67,51-100,4-6
Jonny Bairstow,MI,85,2,2,0,47,42.50,46,184.78,0,0,7,5,47,42.5,51-100,1-3
Marco Jansen,PBKS,75,14,8,4,34*,18.75,63,119.04,0,0,3,4,34,18.75,51-100,7-9
